title,fileTitle,license,author,threedLink,scale/x,scale/y,scale/z,size/x,size/y,size/z,useMask,pivot/x,pivot/y,isObject3D
White Lily,white_lily,CC BY 4.0,Nmn9,#threed-link,1,1,1,31.64,51.11,26.58,false,0,0,false
Xylophone,xylophone,CC BY 4.0,SonnySee,#threed-link,1,1,1,48.25,6,28.93,false,0,0,false
Plant Yucca,yuccaPlant,CC BY 4.0,betomo16,#threed-link,1,1,1,108.41,180.86,102.85,false,0,0,false
Doors Accordion Fold,accordionFoldDoors,Free Art License 1.3,Pencilart,#threed-link,1,1,1,287.41,221.73,127.97,true,0,56,false
Armchair 1,armchair,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,138.42,91.62,102.69,false,0,0,false
Armchair 2,armchair2,Free Art License 1.3,Pencilart,#threed-link,1,1,1,119.43,88.51,90.95,false,0,0,false
Armchair 3,armchair3,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,61,105,57.99,false,0,0,false
Armchair 4,armchair4,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,65,135,69.99,false,0,0,false
Armchair 5,armchair5,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,52,87,51,false,0,0,false
Awning,awning,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,309.99,61.62,169.4,false,0,0,false
balustradeColumn,balustradeColumn,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,30,92.5,24.4,false,0,0,false
balustradeCorner,balustradeCorner,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,54.39,92.5,54.4,false,0,0,false
Table Bar,barTable,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,121.09,108.37,45,false,0,0,false
Barbecue,barbecue,Free Art License 1.3,Sophie,#threed-link,1,1,1,39.23,50.85,48.4,false,0,0,false
Bath L Shape,bathLShape,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,170,186,85,false,0,0,false
Bathtub Jet System,bathtubJetSystem,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,160,58,70,false,0,0,false
Bed 1,bed,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,167.19,78.48,220.08,false,0,0,false
Bench 1,bench,Free Art License 1.3,Pencilart,#threed-link,1,1,1,167.71,80,65.68,false,0,0,false
Chair Black Deck,blackDeckChair,Free Art License 1.3,Pencilart,#threed-link,1,1,1,42.16,90,54,false,0,0,false
Table Black Deck,blackDeckTable,Free Art License 1.3,Pencilart,#threed-link,1,1,1,150.79,70,152.25,false,0,0,false
Bookcase 1,bookcase,Free Art License 1.3,Geantick,#threed-link,1,1,1,182.5,150,31.25,false,0,0,false
Bookcase 2,bookcase2,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,223.4,210.59,64.5,false,0,0,false
Bookcase 3,bookcase3,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,51.87,163.19,42.64,false,0,0,false
Books,books,Free Art License 1.3,Toomy,#threed-link,1,1,1,23.98,26.94,16.88,false,0,0,false
Staircase Bottom Winder,bottomWinderStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,100,352.16,329.99,false,0,0,false
cabinet,cabinet,Free Art License 1.3,Maui,#threed-link,1,1,1,118.99,131.14,50.85,false,0,0,false
captainsBed,captainsBed,Free Art License 1.3,Pencilart,#threed-link,1,1,1,231.85,133.03,146.91,false,0,0,false
carpet,carpet,Free Art License 1.3,Emmanuel Puybaret,#threed-link,1,1,1,160,1,225,false,0,0,false
cart,cart,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,46.7,85.84,37.21,false,0,0,false
cdRack,cdRack,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,65.69,122.4,20.29,false,0,0,false
cdRack2,cdRack2,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,19.87,179.59,17,false,0,0,false
ceilingFan,ceilingFan,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,107.8,38.99,102.84,false,0,0,false
ceilingLamp,ceilingLamp,Free Art License 1.3,MineaCristian,#threed-link,1,1,1,46,11,46,false,0,0,false
ceramicHob,ceramicHob,Free Art License 1.3,Emmanuel Puybaret,#threed-link,1,1,1,59.99,0.92,51.99,false,0,0,false
Chair 1,chair,Free Art License 1.3,Sleipnir1,#threed-link,1,1,1,57.87,90.21,60.87,false,0,0,false
Chair 2,chair2,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,48,87,49.5,false,0,0,false
choppingBoard2,choppingBoard2,Free Art License 1.3,Toomy,#threed-link,1,1,1,35,1.7,23.8,false,0,0,false
clothesLine,clothesLine,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,500.04,139.99,14.99,false,0,0,false
coffeeMachine,coffeeMachine,Free Art License 1.3,Toomy,#threed-link,1,1,1,20.5,27.86,30.44,false,0,0,false
coffeeTable3,coffeeTable3,Free Art License 1.3,Theo Blonk,#threed-link,1,1,1,100,30,100,false,0,0,false
coffeeTable2,coffeeTable2,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,112.53,39.14,59.82,false,0,0,false
computerDesk,computerDesk,Free Art License 1.3,Jarda Benkovsky,#threed-link,1,1,1,5.36,5.68,3.66,false,0,0,false
cooker,cooker,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,0.59,0.84,0.61,false,0,0,false
cookingPlate,cookingPlate,Free Art License 1.3,Peter Glas,#threed-link,1,1,1,40,3,20.54,false,0,0,false
cornerWashbasin,cornerWashbasin,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,49.99,81,49.99,false,0,0,false
counter,counter,Free Art License 1.3,Wrosun,#threed-link,1,1,1,191.23,93.34,288.35,false,0,0,false
craftsmanDoor,craftsmanDoor,Free Art License 1.3,Mchnz,#threed-link,1,1,1,100.86,209.57,18.67,false,0,0,false
cupboardMirror,cupboardMirror,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,60,78,15,false,0,0,false
trundleBed,trundleBed,Free Art License 1.3,Pencilart,#threed-link,1,1,1,185.53,100.71,81.69,false,0,0,false
deepWindow,deepWindow,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,105,149.99,60,true,0,0,false
deskLamp4,deskLamp4,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,40.59,61.23,40.6,false,0,0,false
deskLamp2,deskLamp2,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,73.76,56.22,23.2,false,0,0,false
deskLamp3,deskLamp3,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,16,46.99,50,false,0,0,false
desk2,desk2,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,180,72,163,false,0,0,false
desk3,desk3,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,77.87,76.45,54.6,false,0,0,false
desk4,desk4,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,77.87,76.45,85.86,false,0,0,false
desk5,desk5,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,120,72.48,59,false,0,0,false
desk6,desk6,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,160,72,80,false,0,0,false
dishWasher,dishWasher,Free Art License 1.3,Pencilart,#threed-link,1,1,1,5.04,6.18,6.15,false,0,0,false
displayCabinet,displayCabinet,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,84.06,179.84,84.06,false,0,0,false
door,door,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,91.44,213.69,18.22,true,0,0,false
doorGlass,doorGlass,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,77.09,205.7,11.19,true,0,0,false
doorWindow,doorWindow,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,80,209.99,23,true,0,0,false
doubleDoorWindow,doubleDoorWindow,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,160,209.99,23,true,0,0,false
doubleDoorWindowSmallPanes,doubleDoorWindowSmallPanes,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,160,209.99,23,true,0,0,false
doubleSmallWindow2x3PanesWithSill,doubleSmallWindow2x3PanesWithSill,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,123,110,25,true,0,0,false
doubleSmallWindow3x3Panes,doubleSmallWindow3x3Panes,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,135,90,16,true,0,0,false
doubleSmallWindowWithSill,doubleSmallWindowWithSill,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,123,110,25,true,0,0,false
doubleWinderStaircase,doubleWinderStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,100,353.13,329.99,false,0,0,false
dresser,dresser,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,117.41,87.62,62.9,false,0,0,false
emergencyGlassDoubleDoor,emergencyGlassDoubleDoor,Free Art License 1.3,Siath,#threed-link,1,1,1,219.64,209.97,28.4,true,0,0,false
fan,fan,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,20,20,33,false,0,0,false
fancyFrontDoor,fancyFrontDoor,Free Art License 1.3,Pencilart,#threed-link,1,1,1,4.07,8.15,0.98,true,0,0,false
fancyWindow,fancyWindow,Free Art License 1.3,Pencilart,#threed-link,1,1,1,3.67,7.7,0.33,true,0,0,false
fence,fence,Free Art License 1.3,Pencilart,#threed-link,1,1,1,0.73,1.04,0.07,false,0,0,false
fenceGrid,fenceGrid,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,200,104.99,5,false,0,0,false
fenceGridGate,fenceGridGate,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,85,109.99,5,false,0,0,false
fencePicket,fencePicket,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,85,125,6,false,0,0,false
fencePost,fencePost,Free Art License 1.3,Pencilart,#threed-link,1,1,1,0.75,6.35,0.76,false,0,0,false
fencePost2,fencePost2,Free Art License 1.3,Pencilart,#threed-link,1,1,1,0.96,5.58,0.95,false,0,0,false
fence2,fence2,Free Art License 1.3,Pencilart,#threed-link,1,1,1,0.73,1,0.07,false,0,0,false
firePlace,firePlace,Free Art License 1.3,Don Ravey,#threed-link,1,1,1,112,83.79,38,false,0,0,false
flatRoofSkylightBubble,flatRoofSkylightBubble,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,100,45,100,true,0,0,false
flowers,flowers,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,39.26,93.84,29.91,false,0,0,false
fountain,fountain,Free Art License 1.3,Sparkywalk,#threed-link,1,1,1,51.37,46.54,51.37,false,0,0,false
fridge,fridge,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,2,7.28,2.42,false,0,0,false
fridge2,fridge2,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,57,113.21,60.03,false,0,0,false
gardenSofa,gardenSofa,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,2.22,1.81,0.75,false,0,0,false
gardenUmbrella,gardenUmbrella,Free Art License 1.3,Pencilart,#threed-link,1,1,1,21.91,21.33,18.94,false,0,0,false
gate,gate,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,191,86,11.5,false,0,0,false
gate2,gate2,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,98.05,234.62,1,false,0,0,false
gasBottle,gasBottle,Free Art License 1.3,Sophie,#threed-link,1,1,1,31,63.14,31,false,0,0,false
glassDoorCabinet,glassDoorCabinet,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,3.8,3.2,2.1,true,0,0,false
greekCarpet,greekCarpet,Free Art License 1.3,Theo Blonk,#threed-link,1,1,1,170,0.69,120,false,0,0,false
greenHouse,greenHouse,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,310,290,310,false,0,0,false
halfLandingStaircase,halfLandingStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,200,353,260,false,0,0,false
handrail,handrail,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,94,87.78,3,false,0,0,false
hangedToilet,hangedToilet,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,38,82,56.49,false,0,0,false
hangingLight2,hangingLight2,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,32.32,37.17,32.32,false,0,0,false
hangingSuits,hangingSuits,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,60.02,94,80,false,0,0,false
hatAndCoatStand,hatAndCoatStand,Free Art License 1.3,Baffab,#threed-link,1,1,1,46,161.82,46,false,0,0,false
horizontalFrame,horizontalFrame,Free Art License 1.3,Ola-Kristian Hoff & Annick,#threed-link,1,1,1,155,130,9.99,false,0,0,false
ladder,ladder,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,56,289.99,12,false,0,0,false
ladder2,ladder2,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,44,225,84.99,false,0,0,false
largeCouch,largeCouch,Free Art License 1.3,Pencilart,#threed-link,1,1,1,279.29,88.5,90.45,false,0,0,false
latticeChair,latticeChair,Free Art License 1.3,Pencilart,#threed-link,1,1,1,1.99,4.05,1.96,false,0,0,false
marbleTable,marbleTable,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,120,70,120,false,0,0,false
mirror,mirror,Free Art License 1.3,Emmanuel Puybaret,#threed-link,1,1,1,40,40,0.49,false,0,0,false
monitorLCD,monitorLCD,Free Art License 1.3,Carvalho,#threed-link,1,1,1,0.66,0.56,0.3,false,0,0,false
neoclassicWindow,neoclassicWindow,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,200,219.99,60,true,0,0,false
officeChair,officeChair,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,62.62,87.33,59.66,false,0,0,false
officeChair2,officeChair2,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,62.88,101.47,68.8,false,0,0,false
officeChair3,officeChair3,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,55.88,107.02,56.35,false,0,0,false
openedPatioDoor,openedPatioDoor,Free Art License 1.3,Pencilart,#threed-link,1,1,1,12.32,14.87,6.06,true,0,0,false
openedPatioGlassDoor,openedPatioGlassDoor,Free Art License 1.3,Pencilart,#threed-link,1,1,1,12.32,14.87,6.06,true,0,0,false
openedQuadrupleGlassDoors,openedQuadrupleGlassDoors,Free Art License 1.3,Pencilart,#threed-link,1,1,1,24.62,14.87,6.34,true,0,0,false
outdoorStaircase,outdoorStaircase,Free Art License 1.3,DaniFeri,#threed-link,1,1,1,128,205.5,282,false,0,0,false
ovalMirror,ovalMirror,Free Art License 1.3,Emmanuel Puybaret,#threed-link,1,1,1,54.9,104.88,0.99,false,0,0,false
pan,pan,Free Art License 1.3,Toomy,#threed-link,1,1,1,17.42,8.46,30.33,false,0,0,false
pan2,pan2,Free Art License 1.3,Toomy,#threed-link,1,1,1,25.72,5.4,43.17,false,0,0,false
patioDoor,patioDoor,Free Art License 1.3,Pencilart,#threed-link,1,1,1,7.39,14.87,1.36,true,0,0,false
patioSideDoor,patioSideDoor,Free Art License 1.3,Pencilart,#threed-link,1,1,1,4.51,14.87,0.46,true,0,0,false
pergola,pergola,Free Art License 1.3,Sophie,#threed-link,1,1,1,240.02,262.99,255.6,false,0,0,false
photocopierPrinter,photocopierPrinter,Free Art License 1.3,Christophe Tellerain,#threed-link,1,1,1,141.46,147,92.89,false,0,0,false
picnicTable,picnicTable,Free Art License 1.3,Hawkdawg,#threed-link,1,1,1,180.16,75,145.27,false,0,0,false
picture,picture,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,133.96,81.46,9.48,false,0,0,false
pillow,pillow,Free Art License 1.3,Pencilart,#threed-link,1,1,1,1.06,1.03,0.44,false,0,0,false
pinewoodRackFullHeight,pinewoodRackFullHeight,Free Art License 1.3,Dingenskirchen,#threed-link,1,1,1,89.79,227,30.17,false,0,0,false
pinewoodRackFullHeightHalfWidth,pinewoodRackFullHeightHalfWidth,Free Art License 1.3,Dingenskirchen,#threed-link,1,1,1,48.79,227,30.17,false,0,0,false
pinewoodRackLowHeight,pinewoodRackLowHeight,Free Art License 1.3,Dingenskirchen,#threed-link,1,1,1,89.79,56.5,30.17,false,0,0,false
pinewoodRackMediumHeight,pinewoodRackMediumHeight,Free Art License 1.3,Dingenskirchen,#threed-link,1,1,1,89.8,143,30.17,false,0,0,false
plant,plant,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,96.68,85.35,96.18,false,0,0,false
plantersDesk,plantersDesk,Free Art License 1.3,Pencilart,#threed-link,1,1,1,4.38,9.24,3.79,false,0,0,false
poolLadder,poolLadder,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,50,190,50,false,0,0,false
pumpkin,pumpkin,Free Art License 1.3,Sophie,#threed-link,1,1,1,29.37,24.71,29.38,false,0,0,false
quarterLandingStaircase,quarterLandingStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,166.03,362,299.99,false,0,0,false
quarterLandingStaircase2,quarterLandingStaircase2,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,224.99,351.65,228.28,false,0,0,false
rail,rail,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,329.8,234.48,5.99,false,0,0,false
railingGlass,railingGlass,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,155.03,130,5,false,0,0,false
rainGutterPart1,rainGutterPart1,Free Art License 1.3,Dingenskirchen,#threed-link,1,1,1,200,6.5,12,false,0,0,false
rainGutterPart2,rainGutterPart2,Free Art License 1.3,Dingenskirchen,#threed-link,1,1,1,10,260,91.59,false,0,0,false
rectangularMirror,rectangularMirror,Free Art License 1.3,Emmanuel Puybaret,#threed-link,1,1,1,50.08,70.05,0.97,false,0,0,false
redCabinet,redCabinet,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,52.4,60.2,55.6,false,0,0,false
redCabinetWithBasin,redCabinetWithBasin,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,111,93,69.5,false,0,0,false
redDrawers,redDrawers,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,1.93,3.01,2.78,false,0,0,false
redIsland,redIsland,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,6.02,4.01,4.21,false,0,0,false
refridgerator,refridgerator,Free Art License 1.3,Pencilart,#threed-link,1,1,1,0.67,1.47,0.57,false,0,0,false
