title,fileTitle,license,author,threedLink,scale/x,scale/y,scale/z,size/x,size/y,size/z,useMask,pivot/x,pivot/y,isObject3D
washerDryer,washerDryer,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,59.5,85,54.99,false,0,0,false
wheelieBin,wheelieBin,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,60,101.47,62.5,false,0,0,false
winderStaircase,winderStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,179,362.8,253.99,false,0,0,false
window,window,Free Art License 1.3,Pencilart,#threed-link,1,1,1,58.14,90.57,3.26,true,0,0,false
window2x3,window2x3,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,56,110,35,true,0,0,false
windowFrostedGlass,windowFrostedGlass,Free Art License 1.3,Pencilart,#threed-link,1,1,1,58.86,90.57,2.68,true,0,0,false
windowShutter,windowShutter,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,43.88,129,2.92,false,0,0,false
windowStainGlass,windowStainGlass,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,80,119.99,16,true,0,0,false
wineRack,wineRack,Free Art License 1.3,Sophie,#threed-link,1,1,1,51.92,52,25.04,false,0,0,false
woodShelves,woodShelves,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,77.99,170.99,31.51,false,0,0,false
woodShelves2,woodShelves2,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,77,169.99,37,false,0,0,false
saplingTree,saplingTree,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,199.08,428.26,203.53,false,0,0,false
cube,cube,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,100,100,100,false,0,0,false
cylinder,cylinder,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,100,100,100,false,0,0,false
prism,prism,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,100,100,100,false,0,0,false
bifoldDoor,bifoldDoor,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,400,220,21.99,true,0,0,false
frontDoor,frontDoor,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,150,240,22,true,0,0,false
rug,rug,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,149.99,0.5,230,false,0,0,false
fencePanel,fencePanel,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,299.99,180,12.03,false,0,0,false
dirt,dirt,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,99.99,1,100,false,0,0,false
skyLight,skyLight,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,100,50,150,true,0,0,false
internalDoorOpen,internalDoorOpen,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,90.4,205.3,91.25,true,0,-36,false
fixedSmallWindow,fixedSmallWindow,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,60,60,16,true,0,0,false
gabledRoof,gabledRoof,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,1000,250,1000,false,0,0,false
pyramidalRoof,pyramidalRoof,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,707.1,250,707.1,false,0,0,false
halfPyramidalRoof,halfPyramidalRoof,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,945.01,250,475.83,false,0,0,false
railwaySleeper,railwaySleeper,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,239.99,10,20,false,0,0,false
couch,couch,CC0,ThreeD Garden,#threed-link,1,1,1,207.43,85.58,87.63,false,0,0,false
crate,crate,CC0,ThreeD Garden,#threed-link,1,1,1,60,59.38,58.9,false,0,0,false
cupboard,cupboard,CC0,ThreeD Garden,#threed-link,1,1,1,100.55,149.99,39.01,false,0,0,false
deckChair,deckChair,CC0,ThreeD Garden,#threed-link,1,1,1,71.68,83.98,125.29,false,0,0,false
desk,desk,CC0,ThreeD Garden,#threed-link,1,1,1,139.34,105.44,54.28,false,0,0,false
desklamp,desklamp,CC0,ThreeD Garden,#threed-link,1,1,1,24.39,39.99,24.39,false,0,0,false
doubleOven,doubleOven,CC0,ThreeD Garden,#threed-link,1,1,1,59.99,108.9,51.53,false,0,0,false
fireExtinguisher,fireExtinguisher,CC0,ThreeD Garden,#threed-link,1,1,1,31.07,62.31,18.01,false,0,0,false
kalender,kalender,CC0,ThreeD Garden,#threed-link,1,1,1,12.01,10.81,7.93,false,0,0,false
kitchenaid,kitchenaid,CC0,ThreeD Garden,#threed-link,1,1,1,21.37,35.29,35.99,false,0,0,false
led_tv,led_tv,CC0,ThreeD Garden,#threed-link,1,1,1,77.51,50.78,14.17,false,0,0,false
lockedLocker,lockedLocker,CC0,ThreeD Garden,#threed-link,1,1,1,20,40,21.98,false,0,0,false
L_shaped_sofa,L_shaped_sofa,CC0,ThreeD Garden,#threed-link,1,1,1,233.68,79.98,143.64,false,0,0,false
mano_cooktop,mano_cooktop,CC0,ThreeD Garden,#threed-link,1,1,1,58,3.81,49.99,false,0,0,false
modernArmchair,modernArmchair,CC0,ThreeD Garden,#threed-link,1,1,1,77.31,86.45,84.92,false,0,0,false
mofx_mailbox,mofx_mailbox,CC0,ThreeD Garden,#threed-link,1,1,1,15.89,81.55,46.49,false,0,0,false
numberLock,numberLock,CC0,ThreeD Garden,#threed-link,1,1,1,9.98,10.24,0.43,false,0,0,false
oakChair,oakChair,CC0,ThreeD Garden,#threed-link,1,1,1,49.09,117.81,61.21,false,0,0,false
oakTable,oakTable,CC0,ThreeD Garden,#threed-link,1,1,1,124,74.13,123.99,false,0,0,false
oven,oven,CC0,ThreeD Garden,#threed-link,1,1,1,59.99,57.76,51.53,false,0,0,false
