title,license,author,threedLink,scale/x,scale/y,scale/z,size/x,size/y,size/z,useMask,pivot/x,pivot/y
shower,CC0,ThreeD Garden,#threed-link,1,1,1,20.84,114.28,53.78,,,
showerDoor,CC0,ThreeD Garden,#threed-link,1,1,1,90.14,229.91,22.5,,,
silla2,CC0,ThreeD Garden,#threed-link,1,1,1,32.63,78.83,31.14,,,
sillaBlanca,CC0,ThreeD Garden,#threed-link,1,1,1,50.45,85,58.38,,,
sofa,CC0,ThreeD Garden,#threed-link,1,1,1,248.76,78,189.56,,,
tableWithTablecloth,CC0,ThreeD Garden,#threed-link,1,1,1,129.23,120.58,130.53,,,
technicalTable1,CC0,ThreeD Garden,#threed-link,1,1,1,214.66,95.08,118.84,,,
technicalTable2,CC0,ThreeD Garden,#threed-link,1,1,1,136.64,101.34,171.37,,,
televisionCabinet,CC0,ThreeD Garden,#threed-link,1,1,1,135.36,160.02,69.27,,,
toiletPaperDispenser,CC0,ThreeD Garden,#threed-link,1,1,1,15.56,18.45,10.41,,,
toiletsUnit,CC0,ThreeD Garden,#threed-link,1,1,1,35.33,77.23,69.2,,,
towel2,CC0,ThreeD Garden,#threed-link,1,1,1,21.79,66.85,13.69,,,
towel3,CC0,ThreeD Garden,#threed-link,1,1,1,59.6,47.84,8.12,,,
umbrella,CC0,ThreeD Garden,#threed-link,1,1,1,223.11,199.8,222.67,,,
verticalShelves,CC0,ThreeD Garden,#threed-link,1,1,1,44.48,196.12,39,,,
wardrobeWithSlidingDoors,CC0,ThreeD Garden,#threed-link,1,1,1,151.9,236.38,64.1,,,
washbasin,CC0,ThreeD Garden,#threed-link,1,1,1,56.35,93.07,45.71,,,
whiteBoard,CC0,ThreeD Garden,#threed-link,1,1,1,124.65,129,55.1,,,
abdominalBench,CC BY 4.0,muhtesemozcinar,#threed-link,1,1,1,67.19,86.94,192.87,,,
armchair1,CC BY 4.0,aymanslman,#threed-link,1,1,1,100.49,79.98,88.17,,,
bathroomRadiator,CC BY 4.0,nikitron,#threed-link,1,1,1,48.39,110.75,19.93,,,
bath_jay_hardy,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,180.06,65.06,70.08,,,
bedsideTable,CC BY 4.0,SirOccor,#threed-link,1,1,1,50.01,48,41.44,,,
bike,CC BY 4.0,rodrigoalves123,#threed-link,1,1,1,40.72,76.48,116.31,,,
biurko3,CC BY 4.0,hilux,#threed-link,1,1,1,120.16,72.04,60.22,,,
boiler,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,17.89,20.01,16.22,,,
bonecoDeNeve,CC BY 4.0,zema,#threed-link,1,1,1,94.03,98.81,71.06,,,
book,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,28.15,2.44,18.41,,,
breadBox,CC BY 4.0,oldtimer,#threed-link,1,1,1,56.15,27.52,27.52,,,
bunkBed,CC BY 4.0,NabHlEsCK,#threed-link,1,1,1,113.09,159.95,204.99,,,
cafe_set_mota_chair,CC BY 4.0,voodoc,#threed-link,1,1,1,60.87,78.3,55.82,,,
cafe_set_mota_table,CC BY 4.0,voodoc,#threed-link,1,1,1,62.21,73.96,62.21,,,
cafe_set_tonon_chair,CC BY 4.0,voodoc,#threed-link,1,1,1,48.02,82.2,53.31,,,
cafe_set_tonon_table,CC BY 4.0,voodoc,#threed-link,1,1,1,66,64.43,52.79,,,
chairWithCushion,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,42.3,91.08,44.58,,,
chairDeck,CC BY 4.0,north.star,#threed-link,1,1,1,67.35,55.27,208.5,,,
chessboard,CC BY 4.0,swapnilrocks98,#threed-link,1,1,1,30,8.01,30,,,
chest,CC BY 4.0,elhzar,#threed-link,1,1,1,143.48,82.05,53.57,,,
childChair,CC BY 4.0,Radio_hate,#threed-link,1,1,1,38.18,67.01,39.5,,,
choppingBoard,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,37.58,4.51,26.02,,,
cocktailGlass,CC BY 4.0,xablend1122,#threed-link,1,1,1,8.33,13.08,8.33,,,
coffeePress,CC BY 4.0,cephei,#threed-link,1,1,1,16.27,26.5,10.65,,,
coffeeTable,CC BY 4.0,nikitron,#threed-link,1,1,1,120.04,44.99,70.08,,,
cornerSofa,CC BY 4.0,nikitron,#threed-link,1,1,1,345.76,85.53,155,,,
decorativePlant,CC BY 4.0,Nmn9,#threed-link,1,1,1,31.77,60.58,32.21,,,
ella_chair_f,CC BY 4.0,sizzler,#threed-link,1,1,1,4.57,9.16,5.64,,,
espressokettle,CC BY 4.0,krabz,#threed-link,1,1,1,17.87,15.22,9.39,,,
gift,CC BY 4.0,tadine,#threed-link,1,1,1,23.19,25.08,18.08,,,
glass,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,7.51,19.53,7.41,,,
green_stool,CC BY 4.0,dalenryder,#threed-link,1,1,1,42.91,45.97,42.91,,,
hangingLight,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,43.88,86.04,43.88,,,
hood,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,101.55,48.59,39.18,,,
juniorBed,CC BY 4.0,SirOccor,#threed-link,1,1,1,105.69,65.61,197.79,,,
kitchenblender,CC BY 4.0,PrinterKiller,#threed-link,1,1,1,15.61,42.73,22.34,,,
kitchenDrawersCabinet,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,44.22,87.8,71.22,,,
kitchenGlassDoorCabinet,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,33.6,77.13,36.91,,,
kitchenIsland,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,93.88,83.08,69.94,,,
kitchenLowerCabinet,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,97.58,87.8,71.68,,,
kitchenScale,CC BY 4.0,oldtimer,#threed-link,1,1,1,23,27.5,23,,,
kitchenSink,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,97.58,97.63,71.68,,,
kitchenSmallLowerCabinet,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,48.68,87.8,71.7,,,
kitchenSmallUpperCabinet,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,34.76,77.13,36.91,,,
kitchenTools,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,44,31.59,9.78,,,
kitchenUpperCabinet,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,109.43,77.13,36.91,,,
