title,license,author,threedLink,scale/x,scale/y,scale/z,size/x,size/y,size/z,useMask,pivot/x,pivot/y
cooker,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,0.59,0.84,0.61,,,
cookingPlate,Free Art License 1.3,Peter Glas,#threed-link,1,1,1,40,3,20.54,,,
cornerWashbasin,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,49.99,81,49.99,,,
counter,Free Art License 1.3,Wrosun,#threed-link,1,1,1,191.23,93.34,288.35,,,
craftsmanDoor,Free Art License 1.3,Mchnz,#threed-link,1,1,1,100.86,209.57,18.67,,,
cupboardMirror,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,60,78,15,,,
trundleBed,Free Art License 1.3,Pencilart,#threed-link,1,1,1,185.53,100.71,81.69,,,
deepWindow,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,105,149.99,60,true,,
deskLamp4,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,40.59,61.23,40.6,,,
deskLamp2,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,73.76,56.22,23.2,,,
deskLamp3,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,16,46.99,50,,,
desk2,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,180,72,163,,,
desk3,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,77.87,76.45,54.6,,,
desk4,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,77.87,76.45,85.86,,,
desk5,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,120,72.48,59,,,
desk6,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,160,72,80,,,
dishWasher,Free Art License 1.3,Pencilart,#threed-link,1,1,1,5.04,6.18,6.15,,,
displayCabinet,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,84.06,179.84,84.06,,,
door,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,91.44,213.69,18.22,true,,
doorGlass,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,77.09,205.7,11.19,true,,
doorWindow,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,80,209.99,23,true,,
doubleDoorWindow,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,160,209.99,23,true,,
doubleDoorWindowSmallPanes,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,160,209.99,23,true,,
doubleSmallWindow2x3PanesWithSill,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,123,110,25,true,,
doubleSmallWindow3x3Panes,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,135,90,16,true,,
doubleSmallWindowWithSill,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,123,110,25,true,,
doubleWinderStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,100,353.13,329.99,false,,
dresser,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,117.41,87.62,62.9,,,
emergencyGlassDoubleDoor,Free Art License 1.3,Siath,#threed-link,1,1,1,219.64,209.97,28.4,true,,
fan,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,20,20,33,,,
fancyFrontDoor,Free Art License 1.3,Pencilart,#threed-link,1,1,1,4.07,8.15,0.98,true,,
